2020-12-26 21:40:33,155 INFO    MainThread:34440 [wandb_setup.py:_flush():70] setting env: {}
2020-12-26 21:40:33,156 INFO    MainThread:34440 [wandb_setup.py:_flush():70] multiprocessing start_methods=spawn
2020-12-26 21:40:33,156 INFO    MainThread:34440 [wandb_setup.py:_flush():70] setting login settings: {}
2020-12-26 21:40:33,156 INFO    MainThread:34440 [wandb_setup.py:_flush():70] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000242DDF83F08>
2020-12-26 21:40:33,156 INFO    MainThread:34440 [wandb_init.py:_log_setup():303] Logging user logs to D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch\wandb\run-20201226_214033-113tt788\logs\debug.log
2020-12-26 21:40:33,156 INFO    MainThread:34440 [wandb_init.py:_log_setup():304] Logging internal logs to D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch\wandb\run-20201226_214033-113tt788\logs\debug-internal.log
2020-12-26 21:40:35,940 INFO    MainThread:34440 [wandb_run.py:_console_start():1237] atexit reg
2020-12-26 21:40:35,941 INFO    MainThread:34440 [wandb_run.py:_redirect():1104] redirect: SettingsConsole.WRAP
2020-12-26 21:40:35,941 INFO    MainThread:34440 [wandb_run.py:_redirect():1135] Wrapping output streams.
2020-12-26 21:40:35,941 INFO    MainThread:34440 [wandb_run.py:_redirect():1151] Redirects installed.
2020-12-26 21:40:35,942 INFO    MainThread:34440 [wandb_run.py:_config_callback():549] config_cb None None {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.7.6', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'learning_rate': 0.002, 'epoch': 1024, 'batch_size': 64, 'gpu_device': 0, 'experiment': '1224_Bayes_drop_0_4', 'n_labeled': 250, 'seed': 1, 'alpha': 0.75, 'lambda_u': 75, 'T': 0.5, 'ema_decay': 0.999, 'train_iteration': 1024, 'weight_decay': 0.0004, 'dropout': 0.4, 'class_num': 10}
2020-12-26 21:40:41,293 INFO    MainThread:34440 [wandb_watch.py:watch():35] Watching
2020-12-27 03:56:33,128 INFO    MainThread:34440 [wandb_run.py:finish():914] finishing run bogus215/PyTorch MixMatch Training/113tt788
2020-12-27 03:56:33,129 INFO    MainThread:34440 [wandb_init.py:_jupyter_teardown():234] cleaning up jupyter logic
2020-12-27 03:56:33,129 INFO    MainThread:34440 [jupyter.py:save_history():208] not saving jupyter history
